episode_index,episode_length,is_successful
0,27,False
1,15,False
2,22,False
3,11,False
4,32,False
5,37,False
6,53,False
7,15,False
8,25,False
9,10,False
10,37,False
11,29,False
12,20,False
13,12,False
14,29,False
15,18,False
16,19,False
17,16,False
18,17,False
19,75,False
20,23,False
21,33,False
22,46,False
23,40,False
24,53,False
25,22,False
26,50,False
27,44,False
28,18,False
29,12,False
30,16,False
31,20,False
32,17,False
33,40,False
34,49,False
35,14,False
36,18,False
37,21,False
38,44,False
39,22,False
40,40,False
41,56,False
42,79,False
43,17,False
44,57,False
45,60,False
46,60,False
47,74,False
48,38,False
49,56,False
50,21,False
51,26,False
52,63,False
53,79,False
54,76,False
55,74,False
56,78,False
57,70,False
58,50,False
59,20,False
60,102,False
61,22,False
62,58,False
63,38,False
64,72,False
65,82,False
66,32,False
67,113,False
68,71,False
69,83,False
70,104,False
71,104,False
72,102,False
73,100,False
74,85,False
75,124,False
76,84,False
77,90,False
78,57,False
79,96,False
80,90,False
81,61,False
82,72,False
83,73,False
84,85,False
85,95,False
86,107,False
87,158,False
88,171,False
89,98,False
90,31,False
91,67,False
92,57,False
93,123,False
94,23,False
95,156,False
96,110,False
97,96,False
98,74,False
99,18,False
100,66,False
101,102,False
102,16,False
103,101,False
104,122,False
105,14,False
106,101,False
107,137,False
108,116,False
109,22,False
110,101,False
111,190,False
112,124,False
113,17,False
114,22,False
115,77,False
116,104,False
117,86,False
118,13,False
119,99,False
120,29,False
121,29,False
122,95,False
123,80,False
124,86,False
125,86,False
126,80,False
127,81,False
128,76,False
129,81,False
130,95,False
131,92,False
132,71,False
133,80,False
134,69,False
135,82,False
136,71,False
137,78,False
138,70,False
139,78,False
140,32,False
141,16,False
142,105,False
143,115,False
144,135,False
145,121,False
146,122,False
147,123,False
148,55,False
149,113,False
150,105,False
151,109,False
152,120,False
153,113,False
154,134,False
155,124,False
156,110,False
157,132,False
158,103,False
159,139,False
160,120,False
161,37,False
162,138,False
163,135,False
164,137,False
165,141,False
166,134,False
167,135,False
168,142,False
169,118,False
170,125,False
171,114,False
172,93,False
173,145,False
174,135,False
175,137,False
176,130,False
177,136,False
178,141,False
179,142,False
180,144,False
181,144,False
182,145,False
183,137,False
184,126,False
185,17,False
186,135,False
187,128,False
188,119,False
189,126,False
190,125,False
191,32,False
192,137,False
193,157,False
194,137,False
195,128,False
196,120,False
197,106,False
198,122,False
199,120,False
