episode_index,episode_length,is_successful
0,28,False
1,17,False
2,22,False
3,43,False
4,18,False
5,60,False
6,15,False
7,13,False
8,17,False
9,19,False
10,14,False
11,13,False
12,44,False
13,63,False
14,11,False
15,51,False
16,26,False
17,28,False
18,28,False
19,31,False
20,22,False
21,14,False
22,54,False
23,43,False
24,49,False
25,36,False
26,21,False
27,63,False
28,16,False
29,16,False
30,31,False
31,111,False
32,20,False
33,52,False
34,93,False
35,19,False
36,17,False
37,14,False
38,104,False
39,54,False
40,10,False
41,28,False
42,10,False
43,108,False
44,16,False
45,32,False
46,57,False
47,69,False
48,84,False
49,26,False
50,46,False
51,45,False
52,104,False
53,13,False
54,40,False
55,69,False
56,174,False
57,70,False
58,53,False
59,22,False
60,58,False
61,40,False
62,19,False
63,55,False
64,35,False
65,44,False
66,83,False
67,67,False
68,62,False
69,106,False
70,82,False
71,70,False
72,62,False
73,77,False
74,37,False
75,80,False
76,71,False
77,72,False
78,79,False
79,106,False
80,64,False
81,99,False
82,19,False
83,87,False
84,92,False
85,61,False
86,36,False
87,109,False
88,88,False
89,106,False
90,106,False
91,142,False
92,21,False
93,84,False
94,132,False
95,99,False
96,107,False
97,116,False
98,108,False
99,118,False
100,119,False
101,114,False
102,25,False
103,101,False
104,108,False
105,104,False
106,119,False
107,113,False
108,34,False
109,118,False
110,69,False
111,126,False
112,127,False
113,129,False
114,113,False
115,149,False
116,116,False
117,111,False
118,136,False
119,156,False
120,154,False
121,120,False
122,138,False
123,144,False
124,117,False
125,131,False
126,121,False
127,131,False
128,126,False
129,112,False
130,128,False
131,157,False
132,140,False
133,145,False
134,133,False
135,133,False
136,171,False
137,146,False
138,151,False
139,112,False
140,169,False
141,149,False
142,151,False
143,158,False
144,148,False
145,166,False
146,151,False
147,148,False
148,153,False
149,158,False
150,132,False
151,155,False
152,164,False
153,146,False
154,166,False
155,154,False
156,135,False
157,111,False
158,135,False
159,145,False
160,143,False
161,130,False
162,137,False
163,129,False
164,174,False
165,126,False
166,138,False
167,148,False
168,153,False
169,127,False
170,152,False
171,128,False
172,151,False
173,150,False
174,145,False
175,128,False
176,154,False
177,130,False
178,152,False
179,165,False
180,128,False
181,169,False
182,149,False
183,108,False
184,135,False
185,127,False
186,117,False
187,148,False
188,130,False
189,146,False
190,135,False
191,119,False
192,129,False
193,128,False
194,133,False
195,165,False
196,147,False
197,121,False
198,136,False
199,133,False
