episode_index,episode_length,is_successful
0,19,False
1,11,False
2,10,False
3,40,False
4,12,False
5,14,False
6,12,False
7,9,False
8,14,False
9,10,False
10,15,False
11,10,False
12,13,False
13,11,False
14,9,False
15,14,False
16,11,False
17,13,False
18,12,False
19,14,False
20,22,False
21,10,False
22,12,False
23,9,False
24,13,False
25,18,False
26,14,False
27,9,False
28,9,False
29,14,False
30,13,False
31,15,False
32,13,False
33,12,False
34,10,False
35,11,False
36,13,False
37,10,False
38,14,False
39,23,False
40,12,False
41,61,False
42,55,False
43,77,False
44,78,False
45,37,False
46,44,False
47,79,False
48,27,False
49,86,False
50,81,False
51,89,False
52,81,False
53,15,False
54,97,False
55,71,False
56,64,False
57,80,False
58,89,False
59,38,False
60,60,False
61,101,False
62,80,False
63,34,False
64,104,False
65,85,False
66,90,False
67,149,False
68,26,False
69,92,False
70,131,False
71,106,False
72,98,False
73,106,False
74,107,False
75,108,False
76,85,False
77,192,False
78,46,False
79,97,False
80,19,False
81,15,False
82,12,False
83,28,False
84,21,False
85,31,False
86,26,False
87,22,False
88,32,False
89,31,False
90,21,False
91,77,False
92,24,False
93,26,False
94,120,False
95,17,False
96,19,False
97,56,False
98,29,False
99,33,False
100,200,True
101,142,False
102,16,False
103,93,False
104,49,False
105,57,False
106,61,False
107,102,False
108,23,False
109,180,False
110,33,False
111,132,False
112,43,False
113,52,False
114,38,False
115,153,False
116,141,False
117,86,False
118,200,True
119,29,False
120,22,False
121,136,False
122,186,False
123,200,True
124,47,False
125,200,True
126,43,False
127,51,False
128,50,False
129,69,False
130,200,True
131,173,False
132,44,False
133,154,False
134,159,False
135,200,True
136,127,False
137,92,False
138,144,False
139,56,False
140,200,True
141,149,False
142,34,False
143,111,False
144,44,False
145,133,False
146,172,False
147,131,False
148,130,False
149,151,False
150,93,False
151,106,False
152,185,False
153,180,False
154,200,True
155,200,True
156,82,False
157,179,False
158,200,True
159,134,False
160,200,True
161,200,True
162,200,True
163,141,False
164,200,True
165,170,False
166,180,False
167,124,False
168,84,False
169,92,False
170,79,False
171,158,False
172,137,False
173,109,False
174,142,False
175,105,False
176,142,False
177,200,True
178,144,False
179,200,True
180,136,False
181,103,False
182,153,False
183,134,False
184,200,True
185,200,True
186,200,True
187,200,True
188,88,False
189,150,False
190,200,True
191,200,True
192,162,False
193,99,False
194,200,True
195,200,True
196,200,True
197,200,True
198,200,True
199,200,True
