episode_index,episode_length,is_successful
0,8,False
1,9,False
2,13,False
3,15,False
4,10,False
5,30,False
6,14,False
7,9,False
8,10,False
9,13,False
10,10,False
11,9,False
12,14,False
13,9,False
14,12,False
15,11,False
16,12,False
17,13,False
18,13,False
19,11,False
20,15,False
21,10,False
22,10,False
23,12,False
24,18,False
25,14,False
26,18,False
27,11,False
28,10,False
29,27,False
30,9,False
31,29,False
32,13,False
33,11,False
34,15,False
35,16,False
36,9,False
37,16,False
38,9,False
39,58,False
40,14,False
41,11,False
42,27,False
43,14,False
44,11,False
45,59,False
46,47,False
47,11,False
48,39,False
49,12,False
50,41,False
51,14,False
52,9,False
53,11,False
54,10,False
55,13,False
56,12,False
57,9,False
58,8,False
59,9,False
60,9,False
61,12,False
62,10,False
63,38,False
64,9,False
65,15,False
66,43,False
67,55,False
68,66,False
69,43,False
70,15,False
71,42,False
72,28,False
73,41,False
74,83,False
75,42,False
76,33,False
77,28,False
78,45,False
79,77,False
80,65,False
81,50,False
82,55,False
83,37,False
84,37,False
85,39,False
86,68,False
87,16,False
88,16,False
89,38,False
90,58,False
91,13,False
92,14,False
93,11,False
94,13,False
95,16,False
96,14,False
97,17,False
98,14,False
99,10,False
100,16,False
101,13,False
102,43,False
103,32,False
104,62,False
105,73,False
106,23,False
107,36,False
108,44,False
109,39,False
110,35,False
111,74,False
112,32,False
113,38,False
114,39,False
115,42,False
116,36,False
117,37,False
118,39,False
119,50,False
120,41,False
121,19,False
122,48,False
123,41,False
124,41,False
125,45,False
126,40,False
127,42,False
128,43,False
129,44,False
130,44,False
131,39,False
132,39,False
133,41,False
134,51,False
135,44,False
136,47,False
137,39,False
138,34,False
139,36,False
140,36,False
141,39,False
142,45,False
143,16,False
144,46,False
145,42,False
146,36,False
147,36,False
148,40,False
149,33,False
150,33,False
151,41,False
152,40,False
153,106,False
154,37,False
155,40,False
156,45,False
157,42,False
158,34,False
159,34,False
160,43,False
161,42,False
162,35,False
163,47,False
164,38,False
165,39,False
166,28,False
167,45,False
168,29,False
169,32,False
170,37,False
171,41,False
172,40,False
173,39,False
174,37,False
175,35,False
176,57,False
177,64,False
178,38,False
179,55,False
180,46,False
181,27,False
182,34,False
183,44,False
184,35,False
185,42,False
186,45,False
187,39,False
188,47,False
189,32,False
190,45,False
191,15,False
192,42,False
193,44,False
194,44,False
195,35,False
196,45,False
197,41,False
198,42,False
199,39,False
