episode_index,episode_length,is_successful
0,14,False
1,14,False
2,8,False
3,19,False
4,15,False
5,13,False
6,18,False
7,13,False
8,10,False
9,16,False
10,10,False
11,12,False
12,15,False
13,16,False
14,16,False
15,15,False
16,17,False
17,18,False
18,15,False
19,30,False
20,15,False
21,32,False
22,20,False
23,14,False
24,13,False
25,13,False
26,16,False
27,17,False
28,13,False
29,15,False
30,12,False
31,12,False
32,14,False
33,26,False
34,11,False
35,14,False
36,12,False
37,11,False
38,11,False
39,10,False
40,12,False
41,15,False
42,26,False
43,36,False
44,42,False
45,24,False
46,14,False
47,23,False
48,21,False
49,14,False
50,15,False
51,22,False
52,59,False
53,51,False
54,59,False
55,55,False
56,17,False
57,45,False
58,35,False
59,15,False
60,21,False
61,14,False
62,20,False
63,22,False
64,40,False
65,25,False
66,45,False
67,33,False
68,63,False
69,29,False
70,14,False
71,21,False
72,17,False
73,12,False
74,29,False
75,11,False
76,10,False
77,12,False
78,15,False
79,15,False
80,66,False
81,26,False
82,95,False
83,40,False
84,31,False
85,24,False
86,98,False
87,70,False
88,18,False
89,105,False
90,58,False
91,109,False
92,70,False
93,67,False
94,76,False
95,51,False
96,66,False
97,93,False
98,69,False
99,15,False
100,65,False
101,18,False
102,72,False
103,96,False
104,88,False
105,96,False
106,70,False
107,79,False
108,72,False
109,82,False
110,75,False
111,67,False
112,109,False
113,71,False
114,101,False
115,71,False
116,116,False
117,106,False
118,128,False
119,115,False
120,87,False
121,122,False
122,116,False
123,107,False
124,109,False
125,113,False
126,116,False
127,117,False
128,124,False
129,116,False
130,137,False
131,169,False
132,119,False
133,94,False
134,111,False
135,97,False
136,138,False
137,36,False
138,137,False
139,118,False
140,102,False
141,141,False
142,119,False
143,130,False
144,105,False
145,132,False
146,135,False
147,124,False
148,108,False
149,113,False
150,118,False
151,126,False
152,79,False
153,110,False
154,103,False
155,121,False
156,102,False
157,65,False
158,131,False
159,123,False
160,109,False
161,153,False
162,150,False
163,142,False
164,119,False
165,140,False
166,139,False
167,143,False
168,106,False
169,137,False
170,137,False
171,130,False
172,140,False
173,105,False
174,109,False
175,148,False
176,146,False
177,107,False
178,122,False
179,142,False
180,115,False
181,134,False
182,127,False
183,142,False
184,139,False
185,97,False
186,125,False
187,117,False
188,125,False
189,106,False
190,137,False
191,136,False
192,116,False
193,133,False
194,123,False
195,110,False
196,128,False
197,103,False
198,107,False
199,137,False
