episode_index,episode_length,is_successful
0,38,False
1,37,False
2,16,False
3,25,False
4,19,False
5,18,False
6,33,False
7,24,False
8,13,False
9,38,False
10,50,False
11,25,False
12,13,False
13,13,False
14,15,False
15,15,False
16,17,False
17,19,False
18,14,False
19,19,False
20,16,False
21,25,False
22,18,False
23,21,False
24,34,False
25,19,False
26,27,False
27,22,False
28,26,False
29,37,False
30,35,False
31,33,False
32,30,False
33,13,False
34,33,False
35,25,False
36,45,False
37,54,False
38,67,False
39,76,False
40,94,False
41,62,False
42,32,False
43,82,False
44,77,False
45,99,False
46,80,False
47,107,False
48,102,False
49,111,False
50,56,False
51,94,False
52,71,False
53,95,False
54,77,False
55,71,False
56,65,False
57,75,False
58,113,False
59,94,False
60,63,False
61,113,False
62,92,False
63,64,False
64,111,False
65,100,False
66,84,False
67,83,False
68,62,False
69,72,False
70,86,False
71,71,False
72,84,False
73,63,False
74,73,False
75,62,False
76,70,False
77,61,False
78,82,False
79,83,False
80,75,False
81,81,False
82,88,False
83,87,False
84,93,False
85,103,False
86,105,False
87,87,False
88,98,False
89,122,False
90,87,False
91,102,False
92,81,False
93,114,False
94,94,False
95,105,False
96,113,False
97,90,False
98,106,False
99,122,False
100,106,False
101,79,False
102,97,False
103,104,False
104,87,False
105,95,False
106,113,False
107,133,False
108,121,False
109,102,False
110,93,False
111,96,False
112,94,False
113,113,False
114,80,False
115,116,False
116,122,False
117,91,False
118,107,False
119,95,False
120,83,False
121,96,False
122,85,False
123,122,False
124,100,False
125,104,False
126,127,False
127,95,False
128,96,False
129,121,False
130,128,False
131,106,False
132,104,False
133,102,False
134,120,False
135,128,False
136,106,False
137,119,False
138,112,False
139,113,False
140,125,False
141,116,False
142,115,False
143,129,False
144,109,False
145,112,False
146,98,False
147,90,False
148,108,False
149,104,False
150,84,False
151,123,False
152,134,False
153,119,False
154,92,False
155,156,False
156,85,False
157,124,False
158,115,False
159,115,False
160,148,False
161,121,False
162,90,False
163,85,False
164,140,False
165,106,False
166,103,False
167,116,False
168,125,False
169,120,False
170,95,False
171,103,False
172,115,False
173,111,False
174,104,False
175,106,False
176,119,False
177,108,False
178,98,False
179,118,False
180,122,False
181,101,False
182,97,False
183,117,False
184,95,False
185,93,False
186,117,False
187,110,False
188,94,False
189,92,False
190,111,False
191,95,False
192,111,False
193,125,False
194,91,False
195,82,False
196,119,False
197,115,False
198,94,False
199,136,False
