episode_index,episode_length,is_successful
0,34,False
1,18,False
2,15,False
3,21,False
4,16,False
5,18,False
6,22,False
7,15,False
8,15,False
9,18,False
10,14,False
11,25,False
12,13,False
13,35,False
14,19,False
15,11,False
16,9,False
17,11,False
18,15,False
19,19,False
20,16,False
21,10,False
22,9,False
23,28,False
24,16,False
25,10,False
26,12,False
27,13,False
28,17,False
29,16,False
30,30,False
31,44,False
32,15,False
33,34,False
34,26,False
35,62,False
36,21,False
37,26,False
38,26,False
39,47,False
40,45,False
41,19,False
42,53,False
43,33,False
44,26,False
45,31,False
46,33,False
47,35,False
48,30,False
49,27,False
50,19,False
51,16,False
52,20,False
53,39,False
54,36,False
55,45,False
56,43,False
57,38,False
58,37,False
59,44,False
60,38,False
61,46,False
62,39,False
63,37,False
64,38,False
65,34,False
66,38,False
67,34,False
68,44,False
69,44,False
70,32,False
71,44,False
72,42,False
73,39,False
74,28,False
75,88,False
76,40,False
77,47,False
78,34,False
79,45,False
80,146,False
81,36,False
82,102,False
83,200,True
84,139,False
85,41,False
86,49,False
87,35,False
88,200,True
89,200,True
90,200,True
91,111,False
92,115,False
93,155,False
94,93,False
95,125,False
96,60,False
97,100,False
98,162,False
99,101,False
100,185,False
101,56,False
102,103,False
103,111,False
104,174,False
105,86,False
106,200,True
107,100,False
108,174,False
109,106,False
110,61,False
111,95,False
112,82,False
113,127,False
114,200,True
115,108,False
116,200,True
117,200,True
118,200,True
119,166,False
120,97,False
121,200,True
122,191,False
123,199,False
124,200,True
125,97,False
126,179,False
127,32,False
128,200,True
129,91,False
130,200,True
131,37,False
132,127,False
133,200,True
134,122,False
135,171,False
136,120,False
137,109,False
138,187,False
139,200,True
140,109,False
141,102,False
142,177,False
143,200,True
144,148,False
145,134,False
146,79,False
147,200,True
148,200,True
149,200,True
150,89,False
151,200,True
152,200,True
153,128,False
154,172,False
155,200,True
156,175,False
157,200,True
158,102,False
159,97,False
160,99,False
161,130,False
162,200,True
163,96,False
164,200,True
165,200,True
166,200,True
167,143,False
168,116,False
169,200,True
170,161,False
171,200,True
172,200,True
173,200,True
174,86,False
175,200,True
176,86,False
177,160,False
178,200,True
179,159,False
180,138,False
181,165,False
182,97,False
183,199,False
184,131,False
185,194,False
186,123,False
187,200,True
188,200,True
189,200,True
190,145,False
191,152,False
192,174,False
193,143,False
194,110,False
195,200,True
196,200,True
197,200,True
198,200,True
199,200,True
