episode_index,episode_length,is_successful
0,14,False
1,9,False
2,13,False
3,9,False
4,26,False
5,12,False
6,17,False
7,11,False
8,13,False
9,16,False
10,15,False
11,13,False
12,9,False
13,14,False
14,10,False
15,13,False
16,14,False
17,15,False
18,11,False
19,10,False
20,12,False
21,14,False
22,28,False
23,20,False
24,35,False
25,22,False
26,27,False
27,16,False
28,36,False
29,14,False
30,30,False
31,25,False
32,26,False
33,40,False
34,59,False
35,56,False
36,87,False
37,19,False
38,17,False
39,15,False
40,23,False
41,56,False
42,56,False
43,64,False
44,26,False
45,75,False
46,71,False
47,29,False
48,78,False
49,69,False
50,79,False
51,60,False
52,72,False
53,64,False
54,81,False
55,81,False
56,70,False
57,151,False
58,60,False
59,55,False
60,64,False
61,82,False
62,83,False
63,70,False
64,82,False
65,61,False
66,113,False
67,73,False
68,71,False
69,74,False
70,32,False
71,82,False
72,74,False
73,69,False
74,73,False
75,60,False
76,78,False
77,70,False
78,91,False
79,130,False
80,107,False
81,103,False
82,118,False
83,104,False
84,94,False
85,115,False
86,119,False
87,94,False
88,129,False
89,111,False
90,122,False
91,119,False
92,128,False
93,98,False
94,136,False
95,86,False
96,122,False
97,110,False
98,124,False
99,58,False
100,96,False
101,116,False
102,104,False
103,157,False
104,120,False
105,108,False
106,138,False
107,133,False
108,141,False
109,95,False
110,134,False
111,103,False
112,121,False
113,104,False
114,123,False
115,122,False
116,139,False
117,138,False
118,138,False
119,49,False
120,132,False
121,136,False
122,147,False
123,178,False
124,121,False
125,121,False
126,126,False
127,150,False
128,167,False
129,157,False
130,130,False
131,162,False
132,151,False
133,142,False
134,167,False
135,141,False
136,168,False
137,134,False
138,151,False
139,115,False
140,167,False
141,123,False
142,134,False
143,150,False
144,116,False
145,129,False
146,162,False
147,158,False
148,149,False
149,129,False
150,180,False
151,150,False
152,132,False
153,153,False
154,148,False
155,150,False
156,132,False
157,142,False
158,139,False
159,130,False
160,157,False
161,112,False
162,158,False
163,85,False
164,121,False
165,126,False
166,163,False
167,116,False
168,143,False
169,148,False
170,155,False
171,148,False
172,109,False
173,135,False
174,97,False
175,137,False
176,158,False
177,131,False
178,160,False
179,139,False
180,132,False
181,93,False
182,137,False
183,142,False
184,131,False
185,143,False
186,151,False
187,143,False
188,148,False
189,168,False
190,142,False
191,140,False
192,141,False
193,134,False
194,161,False
195,174,False
196,162,False
197,154,False
198,123,False
199,128,False
