episode_index,episode_length,is_successful
0,28,False
1,22,False
2,13,False
3,24,False
4,21,False
5,23,False
6,14,False
7,16,False
8,19,False
9,25,False
10,15,False
11,24,False
12,15,False
13,16,False
14,22,False
15,19,False
16,11,False
17,14,False
18,25,False
19,29,False
20,24,False
21,25,False
22,10,False
23,20,False
24,15,False
25,18,False
26,32,False
27,45,False
28,11,False
29,26,False
30,43,False
31,54,False
32,50,False
33,28,False
34,51,False
35,71,False
36,31,False
37,41,False
38,92,False
39,58,False
40,20,False
41,52,False
42,48,False
43,32,False
44,72,False
45,67,False
46,14,False
47,24,False
48,37,False
49,29,False
50,15,False
51,22,False
52,13,False
53,27,False
54,17,False
55,22,False
56,35,False
57,43,False
58,60,False
59,73,False
60,64,False
61,49,False
62,34,False
63,35,False
64,61,False
65,51,False
66,62,False
67,56,False
68,60,False
69,73,False
70,22,False
71,72,False
72,73,False
73,60,False
74,63,False
75,75,False
76,57,False
77,57,False
78,91,False
79,50,False
80,79,False
81,69,False
82,68,False
83,62,False
84,68,False
85,62,False
86,21,False
87,57,False
88,21,False
89,64,False
90,68,False
91,72,False
92,102,False
93,67,False
94,87,False
95,60,False
96,59,False
97,61,False
98,81,False
99,65,False
100,75,False
101,37,False
102,63,False
103,87,False
104,71,False
105,92,False
106,128,False
107,75,False
108,40,False
109,110,False
110,106,False
111,126,False
112,146,False
113,143,False
114,71,False
115,87,False
116,99,False
117,111,False
118,178,False
119,94,False
120,87,False
121,138,False
122,115,False
123,75,False
124,76,False
125,116,False
126,55,False
127,82,False
128,119,False
129,134,False
130,132,False
131,107,False
132,101,False
133,99,False
134,40,False
135,135,False
136,148,False
137,132,False
138,124,False
139,164,False
140,131,False
141,138,False
142,158,False
143,200,True
144,62,False
145,129,False
146,154,False
147,69,False
148,120,False
149,200,True
150,118,False
151,81,False
152,173,False
153,140,False
154,200,True
155,131,False
156,112,False
157,66,False
158,70,False
159,75,False
160,195,False
161,200,True
162,130,False
163,162,False
164,61,False
165,138,False
166,119,False
167,131,False
168,128,False
169,200,True
170,121,False
171,200,True
172,200,True
173,149,False
174,140,False
175,118,False
176,200,True
177,128,False
178,200,True
179,139,False
180,138,False
181,118,False
182,113,False
183,146,False
184,135,False
185,200,True
186,152,False
187,128,False
188,154,False
189,137,False
190,200,True
191,126,False
192,127,False
193,72,False
194,119,False
195,123,False
196,96,False
197,139,False
198,97,False
199,200,True
