episode_index,episode_length,is_successful
0,26,False
1,20,False
2,17,False
3,15,False
4,24,False
5,31,False
6,19,False
7,29,False
8,30,False
9,48,False
10,27,False
11,56,False
12,43,False
13,36,False
14,21,False
15,26,False
16,34,False
17,29,False
18,35,False
19,23,False
20,23,False
21,28,False
22,70,False
23,72,False
24,19,False
25,70,False
26,24,False
27,80,False
28,34,False
29,71,False
30,71,False
31,18,False
32,30,False
33,34,False
34,61,False
35,100,False
36,22,False
37,64,False
38,68,False
39,18,False
40,23,False
41,64,False
42,69,False
43,39,False
44,70,False
45,71,False
46,87,False
47,81,False
48,16,False
49,59,False
50,61,False
51,36,False
52,67,False
53,72,False
54,68,False
55,63,False
56,67,False
57,68,False
58,90,False
59,77,False
60,67,False
61,64,False
62,72,False
63,80,False
64,87,False
65,100,False
66,136,False
67,127,False
68,113,False
69,140,False
70,36,False
71,103,False
72,115,False
73,129,False
74,124,False
75,111,False
76,124,False
77,126,False
78,93,False
79,124,False
80,105,False
81,107,False
82,123,False
83,123,False
84,124,False
85,123,False
86,107,False
87,142,False
88,138,False
89,90,False
90,104,False
91,134,False
92,120,False
93,96,False
94,131,False
95,141,False
96,140,False
97,109,False
98,109,False
99,117,False
100,148,False
101,136,False
102,133,False
103,100,False
104,136,False
105,136,False
106,141,False
107,143,False
108,122,False
109,123,False
110,116,False
111,132,False
112,82,False
113,147,False
114,121,False
115,88,False
116,115,False
117,140,False
118,132,False
119,138,False
120,121,False
121,128,False
122,129,False
123,139,False
124,113,False
125,132,False
126,132,False
127,149,False
128,118,False
129,103,False
130,122,False
131,139,False
132,131,False
133,145,False
134,144,False
135,130,False
136,132,False
137,125,False
138,139,False
139,129,False
140,135,False
141,126,False
142,134,False
143,143,False
144,123,False
145,123,False
146,143,False
147,144,False
148,122,False
149,127,False
150,134,False
151,132,False
152,108,False
153,123,False
154,106,False
155,106,False
156,112,False
157,115,False
158,99,False
159,95,False
160,95,False
161,95,False
162,130,False
163,123,False
164,125,False
165,137,False
166,98,False
167,135,False
168,125,False
169,108,False
170,131,False
171,128,False
172,117,False
173,137,False
174,123,False
175,104,False
176,143,False
177,116,False
178,124,False
179,137,False
180,139,False
181,113,False
182,133,False
183,112,False
184,132,False
185,119,False
186,131,False
187,145,False
188,132,False
189,149,False
190,142,False
191,140,False
192,131,False
193,145,False
194,124,False
195,119,False
196,108,False
197,117,False
198,131,False
199,126,False
